hdbscan_filled_cluster,GO_hit,gene_symbols,annotated_label
340,No significant GO enrichment,C17orf107 C17orf50 C2orf50 C2orf88 C5orf47 CAMK2N1 CEND1 DAP EBLN1 ERICH4 FAM170A FNDC11 HDGFL1 INAFM1 INAFM2 KHDC3L LBHD2 MARCKS NR0B2 NRGN PCP2 PDE6H PKIB PPP1R1A PRM3 PRR15 RD3 RIPPLY3 TEX12 THRSP UMAD1 ZNF365,
342,No significant GO enrichment,AKAP12 AKAP5 ANKRD33 APOBEC4 BBC3 BCAS1 BCL2L12 BEND7 BMF C10orf62 C10orf95 C11orf42 C11orf91 C12orf54 C12orf71 C16orf86 C16orf90 C17orf100 C17orf64 C19orf84 C1orf216 C22orf23 C3orf49 C8orf58 C9orf50 CBY3 CCDC159 CCDC188 CCDC190 CCDC195 CCDC201 CCDC24 CLBA1 DBNDD1 DCAF16 DDIT4L EDARADD ENKD1 EPOP ERMN FAM131A FAM131B FAM131C FAM205C FAM216B FAM229A FOXR1 FRG2B GMNC HYLS1 INCA1 INSYN1 JPT1 JSRP1 KDF1 KIAA1191 MAJIN MBP MTFR1L OCEL1 PBXIP1 PNMA8A PPDPFL PRKAG3 PRR18 PRR23A PRR23B PRR23C RCSD1 RGS7BP RTL10 SHISA7 SHLD3 SNURF SPACA7 SPEM1 SYNE4 TCP10L TEX35 TEX38 TMEM271 TMEM71 TP53INP1 TP53INP2 UBXN10 VXN ZAR1L ZBP1 ZC2HC1C,
343,No significant GO enrichment,AARD BLOC1S4 C2orf72 C8orf82 C9orf40 CTF1 EVPLL IFT43 MSANTD4 PPM1N PPP1R14A PPP1R2B RGS9BP TERF2IP TLNRD1 TPGS1 TSSC4 TTC9B VMAC,
344,No significant GO enrichment,ANAPC13 BAD BCL2L14 C11orf97 C1orf122 C1orf21 C1orf232 C2orf68 C3orf70 C8orf74 CATSPERZ CAVIN3 CCDC107 CCDC182 CDC42SE1 CYREN DBNDD2 DPPA5 EID2B EIF4EBP1 EIF4EBP3 FAAP20 FAM219A FIBIN GRXCR1 HCFC1R1 KHDC1 KHDC1L LBH LIN37 NUPR1 NUPR2 PKIA PPP1R14D PPP1R1B PRR15L RIPPLY2 RNF208 SHARPIN TCIM TDRP TGFBR3L TMEM158 TMEM238 TMEM247 UBXN8 ZBED2 ZNF428,
345,No significant GO enrichment,BCL7A BCL7B C5orf58 EXOSC6 FAM89A FKBP8 GTSF1L LENG9 MEAF6 MOAP1 NANOS3 NASP NDN NR2F6 NSMCE3 NUP50 PFN3 PNMA1 PNMA2 PNMA8C RUNDC1 SNX21 TMEM191B TMEM191C TRIM52 TSPYL5 UTP14C ZCCHC3,
346,No significant GO enrichment,ARC BLOC1S3 C19orf67 CCDC166 CCDC194 CCDC85B CREBL2 CYS1 EID2 EIF4EBP2 ELL3 FAM104A FAM107A FAM107B FEZ1 GTSF1 INO80B LYSMD3 LYSMD4 MAGEF1 MSANTD3 MXRA7 NOLC1 OOEP PAGR1 PAXX PPDPF PPP1R35 RGCC RILP RILPL2 RNF187 RNF227 SPDYC TFPT THAP1 THAP7 TSPYL1 TSPYL4 TSPYL6 TTC36 VPS37D ZBED3,
350,No significant GO enrichment,AKAP10 CYTH1 CYTH4 DENND6B FERMT3 GRAMD4 IKBKB IKBKE PHTF2 PIK3R6 PIP5K1C PRKAG2 PTPN6 RAB3GAP1 SARM1 SEC14L2 SNX31 USP7 VEPH1 WWP2,
363,No significant GO enrichment,AKAP1 ARHGEF33 BTBD7 CEP97 CTIF DENND2A DENND2C DUSP16 FAM149A FAM149B1 FAM83C FAM83G FGD6 GAB1 GAB2 GAS2L3 KDM3A MCM9 PNPLA8 POLQ RBM12B SAMD4B SCEL SPATA18 SUGP2 SYCP2 TNFAIP3 TNS4 TRAPPC12 USP10 USP31 WAPL,
364,No significant GO enrichment,ARCN1 ARMC1 ATP6V1C1 ATP6V1C2 BRF2 C2orf42 CAPZA2 CCNC CDADC1 CDC14C CHML CRADD DBR1 DOHH DPCD DTX3 ECD EIF3F EIF4E EIF4E2 FBXO47 FBXO48 GINS3 GTF2H2C HPF1 IFT46 KDM1A LETM2 MAEL MORF4L1 NAA11 NMD3 NMT1 NSMCE4A PDE6D PITPNA PITPNB PLAAT5 PP2D1 RMND5B RNF141 ROPN1L SPO11 SPSB1 SPSB4 TIPRL TRIP4 TSTD2 UBTD2 ZC3HC1,
372,No significant GO enrichment,ADARB1 BCL2L13 BIRC2 BSDC1 CC2D1B CDYL CHFR CLIP4 COP1 CRKL CTDSPL2 CYLD ELL FBXL17 HELQ HS1BP3 IQCA1L LNX2 LRRC41 MAPRE2 MAPRE3 MTMR14 NBR1 NCF1 NECAP2 NOXO1 OTUD3 PAPOLB PCGF5 PLEKHM3 PPM1E RANBP9 RBSN RCAN2 RCAN3 REM2 RINL RNF146 RNF180 SAMD3 SNX22 STAC3 STAU1 STAU2 STRBP TDRD5 TTLL11 TTLL9 USP16 USP49 WDR26 ZC3HAV1 ZFYVE19,
378,No significant GO enrichment,AMBRA1 ANKUB1 ARHGEF40 B4GALNT3 B4GALNT4 CNBD2 FAM126B FBXO42 FRMD6 GPSM2 INPP5F KIAA1755 KNDC1 NCF2 NGEF NOS1AP PHLPP2 PLEKHG4 PLEKHM2 PSD RASIP1 RASSF9 RNF157 RPH3AL SH2D3C SPIRE2 TRIM37 USP43,
382,No significant GO enrichment,ATXN7L3 CDK5R1 CDT1 CENPK CENPQ CRIP1 CRIP2 CRIP3 CSRP1 CSRP2 CSRP3 DUSP7 EGLN2 FBLIM1 FHL2 FHL3 FHL5 LARP6 LEMD3 LIMS1 LIMS2 LMCD1 LMO1 LMO2 LMO4 MIER1 PAWR PBK RAB3IL1 RASSF10 RNF32 SPEF1 TCEA3 TES WEE2 ZCCHC24 ZMYND10,
383,No significant GO enrichment,AVEN C18orf25 CDV3 CYHR1 FAM124B HSF2 LIMS3 LIMS4 MKRN3 NECAP1 NOL8 RCOR1 RNF144A RXRB SNX11 SUZ12 TERB2 TOP1 U2AF1L4 ZCWPW2 ZNRF2,
392,No significant GO enrichment,AGGF1 ALKBH5 BECN2 CCNB1IP1 DDI2 DTNBP1 EGLN1 HERPUD1 HERPUD2 LIN28B NAA30 NAF1 NRBF2 PHF24 RBM48 RCAN1 RNF185 RNF217 SAMD10 SQSTM1 STAMBP UBE2Z,
393,No significant GO enrichment,ARHGEF37 BROX INPP4B ITCH KIFC2 PDE3B PITPNM3 PTPN4 PTPRN2 RAP1GAP RASGRP4 RGL2 RGS14 RHPN2 RIMS4 SGSM2 SYT14 USP25 VAV1,
397,No significant GO enrichment,ABRAXAS2 BLZF1 BNIPL ILRUN NFX1 OGFRL1 PEX13 PHF7 RANBP3 RNF14 SAMD5 UBR7 XPC,
401,No significant GO enrichment,CRYBG2 FAM83B FANCM FBXO43 GAREM2 GAS2L1 GPATCH2 GPR156 JARID2 JAZF1 KANK4 KANSL3 KDM5B LMNTD2 MIS18BP1 MYT1L NR3C1 NSD3 PARG PPP1R13L PRAG1 RUSC2 SENP5 SENP7 SLF2 STIL SWT1 SYDE2 TDRD3 ZC3H12C ZC3H12D,
405,No significant GO enrichment,ANLN BACH2 CENPC CEP68 DDIAS FBXL19 HR MASTL MCPH1 PRR11 SMTN WASHC2C XKR5,
406,No significant GO enrichment,ARHGAP31 CALD1 CBL COBL DNAJC6 EPS15 EPS15L1 FAM13C FAM83H FKBP15 FRMPD1 KDM5A KIF24 LCP2 PTPN12 RABL6 TNS2 TTBK2,
408,No significant GO enrichment,APBA3 LPIN3 MVB12B MYRFL NOXA1 PLEKHA1 PTPN18 RASSF6 SCYL1 SH2D1B SKAP1 SLA SNTB1 WRN,
410,No significant GO enrichment,BOD1 C11orf68 CENPH DNTTIP1 GORAB HMG20B KCTD2 MIS12 NAT8L NSMCE2 NUFIP1 PCGF6 PRPF3 R3HDM4 SGF29 SLC4A1AP SMN1 SMN2 SNAPC1 TAF8 TPRG1L TSEN15 UBTD1,
411,No significant GO enrichment,AKNAD1 ALPK2 ANKRD31 BAZ1A BBX BRCA2 C10orf90 CCNT1 CENPJ CEP192 CNST CRYBG1 ETAA1 INO80 ITPRID1 ITPRID2 JHY KIAA0408 KIZ MDM1 MEIOC MPHOSPH9 N4BP2 NPAT NR3C2 PALB2 PHACTR1 PHACTR3 PHACTR4 RAB11FIP1 REXO1 RTN1 STOX1 TANK TOPAZ1 TRIM24 ZFYVE9 ZNRF3,
412,No significant GO enrichment,AFTPH ASPM ATF7IP2 BRCA1 CCP110 DCLRE1A FAM214A INSYN2B KANSL1L KMT5B LRRC66 MINAR1 MLH3 N4BP2L2 PHACTR2 PPARGC1B R3HCC1L RBM44 SECISBP2 SHLD2 TBKBP1 WASHC2A ZC3H12A ZGRF1,
413,No significant GO enrichment,APBB3 ARNTL ARNTL2 GULP1 INPP5J PLEKHA2 RASSF5 SKAP2 STAC2 TBC1D10B TEPSIN,
416,No significant GO enrichment,ARHGAP15 ARHGAP18 ARHGAP9 ARHGEF19 ARHGEF3 CNKSR1 EPS8L2 FRMD1 GRAMD1A GRB7 NIBAN2 OSBPL7 PACS1 PIK3R3 RADIL RASGEF1C RGL3 RGS6 RTKN SNTG1 TBC1D10C TBC1D16 TENT2 USH1C ZSWIM6,
419,No significant GO enrichment,ADAT3 APTX ASCC1 C4orf33 CMAS DAP3 ELP6 FAM151B ISOC1 LTO1 MBLAC2 NHLRC4 NMRK1 NSUN3 OTULINL SETD9 TRIT1,
420,No significant GO enrichment,ATXN3 BECN1 CCNE1 CCNE2 CNOT11 FBXO33 LRATD1 LRATD2 MINDY2 N4BP2L1 NFXL1 PARP12 PDZD9 PI4K2A PXDC1 SIAH3 SMYD1 STAMBPL1 SUFU TBRG1 TENT5C TMEM183A TSG101 UBOX5 VTA1,
421,No significant GO enrichment,ADARB2 AMMECR1L ANKRD13C ATCAY CDC7 CLIP3 FBXO16 FBXO25 FBXO32 FLYWCH1 GAS2 GIPC1 GTF2H1 KAT8 LIN7B MBIP MEI4 NSUN7 NXF1 OSCP1 PEX14 PLEKHF2 PRR5 PTPN20 RAD52 SMYD2 SMYD3 SNX27 SOCS2 SOHLH2 SP100 TIFA TIFAB TOLLIP USP46 VASH2 WIPI1 ZRANB1,
425,No significant GO enrichment,AP3M1 AP3M2 ARHGDIA ARPC2 ASB17 ASF1A CAPZB CCNH CFAP299 CLIC3 CLIC4 CNRIP1 DSCC1 GCLM GDAP1 HINT3 MAD2L1 MAD2L1BP MTERF4 NOCT ORC6 PDCD2 POLR3F RAD9A RAD9B RDM1 RNMT TBPL1 VPS26B VPS36 ZPR1,
427,No significant GO enrichment,ANAPC16 BOD1L2 BORCS5 C18orf21 C1orf109 CCDC103 CCDC134 CENPA CENPV CPTP CUEDC2 DNAAF4 DNAJC9 FEZ2 GOLGA7 GPATCH3 HAUS1 INIP INO80C LIN52 MED28 MNAT1 MND1 MREG NCCRP1 NFYB NGB NOSIP PINK1 PRCC PSMC3IP RBM18 RPRD1A RPRD1B RTF2 SARNP SKA2 SPATA24 SRXN1 STUB1 TAF12 TAF9 TCEA1 TNFAIP8 TNFAIP8L1 TNFAIP8L2 TNFAIP8L3 TRIB3 TTC9 UBL7 VPS72 ZMAT5 ZNF830,
428,No significant GO enrichment,ATG12 C17orf75 CDC37L1 CHIC2 CYGB EID3 EPM2A FGF2 FIBP GID4 GLTP GTF2F2 MAEA MED27 MIS18A MTURN NAT16 NUDCD3 PPIL2 RMND5A ROGDI SNAPC3 SPSB3 SUPT16H,
429,No significant GO enrichment,ACTR5 ASNSD1 ATAD3A ATAD3B ATG4D ATP23 C12orf29 CMTR2 FARSA METTL3 MSTO1 OGFOD1 PARP16 PRMT3 PSMC2 PSMD14 SRP54,
430,No significant GO enrichment,ARRDC3 CASTOR1 DDX1 DHX33 EDC3 FANCL IP6K1 PNLDC1 REXO5 SAG TFIP11,
439,No significant GO enrichment,AARSD1 ADCK1 ATPSCKMT C9orf64 CBWD5 CBWD6 CTPS1 ELP3 ENDOV ENOPH1 FAM118B GLYATL2 GTPBP3 KDM8 MPPED1 MTHFSD MTIF2 NAT2 NMNAT2 OSGEPL1 PDXK PFKFB2 PGPEP1L PMM2 RCL1 RTCA SMUG1 TAMM41 TPMT,
440,No significant GO enrichment,ADK AZIN2 C11orf54 CRYZL1 DNPEP FN3K FOXRED1 GCH1 GFOD2 GLYAT LYPLAL1 MECR METTL27 MGLL MIOX NAXD NDUFAF7 OGG1 PANK2 PPA1 PRPSAP1 QRSL1 RIMKLB TANGO2 TASP1 TDO2 TGDS UMPS YJEFN3 ZADH2,
441,No significant GO enrichment,APIP BBOX1 COASY CRPPA GLT1D1 HDHD3 INMT LACTB2 LHPP METAP1D METTL15 NIT1 NUBP1 NUBP2 PDSS2 PGPEP1 PPCDC PRPSAP2 RIMKLA SIRT4 SMPD2 TATDN3 UCKL1 WARS2,
443,No significant GO enrichment,AAGAB ADAD1 AK5 BIVM BTBD1 BTBD16 COPS7A COPS7B CRLF3 DDX4 DHX16 DHX38 EIF3C EIF3CL EXD2 FAM98C FBXO15 FBXO4 GMCL1 INTS14 KATNAL2 KCTD9 METTL4 MIF4GD MLH1 MYD88 NME8 NOXRED1 NPRL3 PLAA PRPF6 SHQ1 SMYD4 SUPT5H SUPT6H TRMT1L VAPA,
446,No significant GO enrichment,ADPRM ALKBH3 AS3MT DENND10 DUS1L DUS2 GLYATL1B HDHD5 NAT1 NT5C3B NUDT12 PNPO PYROXD1 SIRT6 TRABD TRNT1,
447,No significant GO enrichment,AKAP7 ANKRD60 CARHSP1 DDX23 DEDD DNAJC12 EIF3G FBXO45 GOLGA7B GTF2E2 HAUS4 LIX1L MEDAG NEMF PPP1R8 SPC25 UBFD1 UBXN6 UNC119 UNC119B ZGPAT ZWINT,
448,No significant GO enrichment,BORCS8 CBX3 CCDC12 CCDC124 CCDC25 CHCHD3 CHCHD6 CLNS1A DDRGK1 EIF3J EIF5 FAM32A FRA10AC1 GPATCH11 HYPK MFAP1 MPHOSPH6 PDAP1 POLE3 PPM1G RWDD1 SPAG7 UBXN1 ZC3H15 ZCRB1 ZMAT2,
451,No significant GO enrichment,ANKRD45 ARHGAP11B BCL10 BTBD2 BTBD3 BTBD6 C3orf38 CRY1 CRY2 DEPDC7 DFFB DONSON FBXO3 FBXO7 FBXO8 GMCL2 HSF2BP MAB21L2 METTL14 MRO NHEJ1 PAFAH1B2 PCMTD1 PHYHIP PITPNC1 RHOBTB3 SH3YL1 SHCBP1L STRADA TADA1 TEDC1 TOMM34 ZCCHC4,
456,No significant GO enrichment,ACOT8 ALG1L2 ALKBH4 C20orf27 DUS4L EEF1AKMT1 FAM86B1 GGPS1 GLRX3 IRGM LCMT1 LIPT1 NSUN4 NSUN5 PRXL2B RAD51D SPOUT1 TEX264 TXNDC8 UCK2,
197,Notch binding,ACAN ADAM11 ADAM12 ADAM15 ADAM17 ADAM18 ADAM19 ADAM2 ADAM20 ADAM21 ADAM22 ADAM23 ADAM28 ADAM29 ADAM30 ADAM32 ADAM33 ADAM7 ADAM8 ADAM9 ADAMDEC1 ADAMTS1 ADAMTS10 ADAMTS12 ADAMTS13 ADAMTS14 ADAMTS15 ADAMTS16 ADAMTS17 ADAMTS18 ADAMTS19 ADAMTS2 ADAMTS20 ADAMTS3 ADAMTS4 ADAMTS5 ADAMTS6 ADAMTS7 ADAMTS8 ADAMTS9 ADAMTSL1 ADAMTSL2 ADAMTSL3 ADAMTSL4 ATRN ATRNL1 BMP1 BMPER C7 CD163 CD163L1 CD5L CD93 CHODL CHRD CILP CILP2 CLEC14A CNTNAP1 CNTNAP3B COMP CORIN CRB1 CRB2 CRELD1 CRELD2 CRIM1 DLK1 DLL1 DLL3 DLL4 DNER EDIL3 EFEMP1 EFEMP2 EGF EGFLAM FBLN1 FBLN2 FBLN5 FNDC1 GAS1 GAS6 GRN HHIP ITGB1 ITGB2 ITGB3 ITGB5 ITGB6 ITGB7 ITGB8 ITGBL1 JAG1 JAG2 KCP KREMEN1 KREMEN2 LDLR LOXL2 LOXL3 LOXL4 LRP10 LRP3 LRP8 LTBP1 LTBP2 LTBP3 LTBP4 LY75 MAMDC2 MAMDC4 MATN1 MATN2 MATN3 MATN4 MEGF10 MEGF11 MEGF6 MEGF9 MFGE8 MFRP MRC1 MRC2 NELL1 NELL2 NID1 NID2 NOTCH2NLA NOTCH2NLC NOTCH4 NPNT NRP1 NRP2 NTN1 NTN3 NTN4 NTNG1 NTNG2 OIT3 OVCH1 PAPLN PAPPA PAPPA2 PCOLCE2 PCSK5 PCSK6 PCSK9 PEAR1 PROS1 PRSS12 PXDN PXDNL SCARF1 SCARF2 SCUBE1 SCUBE2 SCUBE3 SEMA3D SEMA5A SEMA5B SNED1 SPINT1 SPON1 SSC4D SSC5D SUSD1 SUSD4 THBS1 THBS2 THBS3 THBS4 THSD4 THSD7A THSD7B TLL1 TLL2 TMEFF1 TMEFF2 UMOD VLDLR VWCE VWDE,
160,O-acyltransferase activity,ALG10 ALG12 ALG6 ALG8 CTNS DGAT1 DOLK GPR180 HHAT KCNK7 MBOAT1 MBOAT4 MBOAT7 PIGU PIGV PIGZ PXMP2 RHBDL3 RNF145 SEC22A SLC51A SOAT1 SOAT2 STEAP1 STIMATE TAPT1 TMEM120B TMEM184A TMEM26 TMEM62 TMEM82 XKR8,
111,P-type ion transporter activity,ATP10A ATP10B ATP10D ATP11A ATP11B ATP12A ATP13A1 ATP13A2 ATP13A3 ATP13A4 ATP13A5 ATP1A1 ATP1A2 ATP1A3 ATP1A4 ATP2A1 ATP2A2 ATP2A3 ATP2B1 ATP2B2 ATP2B4 ATP2C1 ATP2C2 ATP4A ATP7B ATP8A1 ATP8A2 ATP8B1 ATP8B2 ATP8B3 ATP8B4 ATP9A ATP9B,
373,PAR polarity complex,ABHD8 ACBD5 CBFB CC2D1A CDC42SE2 CDYL2 CRK DNA2 DNAAF3 DOK4 EEPD1 FAM83A FAM83D FAM83E FBXO40 KAT2B KAT5 KAT7 LIN7A LIN7C MEN1 MVB12A MYLIP NEIL1 ORC2 PARD6A PARD6B PARD6G PDZK1 PLEKHA8 PLEKHF1 PTCD1 RBPJ RFTN1 RFTN2 RHOBTB1 RHOBTB2 SDCBP SDCBP2 SLA2 SLC9A3R1 SLC9A3R2 SMPD3 SNTA1 SNTB2 SNX10 SNX24 SP110 SP140 SP140L SYNJ2BP TAX1BP3 TRIM23 TTLL1 TUB TULP1 TULP2 TULP3 USP19 USP20 USP3 USP38 USP44 USP45 VASH1 ZFYVE1 ZFYVE21,
110,"RNA endonuclease activity, producing 3'-phosphomonoesters",ADM ANG EDDM3B EMILIN1 EMILIN2 EMILIN3 ERFE MMRN1 MMRN2 POMC PTHLH RNASE1 RNASE10 RNASE11 RNASE12 RNASE13 RNASE2 RNASE3 RNASE4 RNASE6 RNASE7 RNASE8 RNASE9,
261,RNA polymerase binding,BRD4 CBLL1 CCAR1 CCNK CHERP FIP1L1 HABP4 PCF11 PHRF1 PRPF40A RBM26 RBM27 RBM33 SCAF4 SCAF8 USP42 WBP11 WDR33 YLPM1 ZC3H6,
321,Ragulator complex,ABRACL ATP6V1F BANF1 BOLA2B BRK1 BUD31 C2orf76 CIAO2B CKS1B CKS2 CRIPT CSNK2B DYNLRB1 DYNLRB2 DYNLT1 ELOC ENY2 ERH GTF2A2 HSPB11 LAMTOR2 LAMTOR4 LAMTOR5 MAGOH MAP1LC3B2 NAA38 NPM1 POLR2J POLR3K POMP RSL24D1 SAP18 SF3B6 SRP9 SUPT4H1 TRAPPC1 TRAPPC2L,
86,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,AMN1 CFAP410 DNAL1 DRC3 FBXL12 FBXL13 FBXL15 FBXL16 FBXL20 FBXL3 FBXL4 FBXL6 LRGUK LRMDA LRRC31 LRRC34 LRRC43 LRRC46 LRRC49 LRRC56 LRRC61 LRRC71 LRRC72 LRRC73 LRRC74A LRRC74B LRRC75B LRRC9 PPP1R42 SKP2 TBCEL TCTE1 ZER1 ZYG11A ZYG11B,
172,SNAP receptor activity,BET1 BET1L BNIP1 CCDC167 CHMP4C CHMP6 GOSR1 GOSR2 SNAP23 SNAP25 SNAP29 STX10 STX11 STX12 STX16 STX18 STX19 STX1A STX1B STX2 STX3 STX4 STX5 STX6 STX8 USE1 VAMP1 VAMP2 VAMP3 VAMP4 VAMP5 VAMP8 VTI1A VTI1B,
361,TRAPP complex,AHSA1 ARHGDIB ARPC4 ARPIN ASF1B ATG101 ATXN7L3B BYSL C21orf62 CACYBP DDX51 DESI2 DUSP28 EDDM3A EIF2S1 FAM78A FAM78B FCF1 HUS1 HUS1B ISG15 JCHAIN MAD2L2 MSRA NME5 NOP2 NPRL2 NUDCD2 PA2G4 PELO PITHD1 PLET1 POLR2C PSMD7 RAD1 RBM19 RIIAD1 SBDS SRRD TDG TRAPPC3 TRAPPC3L TRAPPC5 TRAPPC6B TRMT10B TSN TSNAX TXNL1 UBD,
322,U2-type precatalytic spliceosome,ANAPC11 ARPC3 BOLA2 BTF3L4 CFL1 COTL1 CSTB CZIB DYNLL2 ELOB ELOF1 FKBP1B GABARAP GABARAPL1 GABARAPL2 GCHFR LSM1 LSM2 LSM3 LSM4 LSM5 LSM6 LSM7 MAP1LC3A MAP1LC3B MAP1LC3C MIEN1 NEDD8 NHP2 PFN1 PHF5A POLR2I POLR2K POLR2L RBX1 RNF7 RPA3 RPL22L1 RPS27L SF3B5 SH3BGRL3 SKP1 SNRPD1 SNRPD2 SNRPD3 SNRPE SNRPF SNRPG SNU13 SRP14 SUMO1 SUMO2 SUMO3 TRMT112 UBL5 UQCRH,
442,U2-type spliceosomal complex,ACBD3 BCAS4 C2orf49 CCDC97 CD2BP2 CDC5L CFAP36 CFAP97 CFDP1 CWF19L2 DGCR6L EBAG9 ESS2 FAF2 FAM50B GPALPP1 IK KIN LENG1 MED29 MLX NFKBIL1 PGP PHAX POLR3D SAP30BP SART1 SCNM1 SNW1 SRA1 SRFBP1 SURF2 UBXN4 WBP4 ZNHIT1 ZNHIT2,
224,WW domain binding,BEAN1 BSND C19orf18 C1orf159 C3orf18 CD24 CD52 CYYR1 FAM163A FAM163B FAM24A FAM24B LDLRAD3 LDLRAD4 MLANA MYCT1 OPALIN PMEPA1 PRR7 PRRG2 PRRG4 PTPRCAP RELL2 SDC2 SDC4 SHISA2 SHISA3 SHISA4 SHISA5 SHISA8 SMIM28 SNORC TMEM139 TMEM171 TMEM174 TMEM200A TMEM207 TMEM210 TMEM215 TMEM252 TMEM51 TMEM52 TMEM52B TMEM61 TMEM92 VOPP1 WBP1 WBP1L,
106,Wnt receptor activity,FZD1 FZD10 FZD2 FZD4 FZD5 FZD7 FZD8 FZD9 PKDREJ SMO,
200,acetylcholine receptor regulator activity,ADM5 BSPH1 C9orf57 CD177 CD59 CGA CLPSL1 CLPSL2 CXCL17 DEFB112 FSHB GML GPHB5 GPIHBP1 IGFL1 IGFL2 IGFL3 IGFL4 LEAP2 LRCOL1 LY6D LY6E LY6G6C LY6G6D LY6H LY6K LY6L LYNX1 LYPD1 LYPD2 LYPD3 LYPD4 LYPD5 LYPD6 LYPD6B LYPD8 MIA MSMP NRN1L OXT PATE1 PATE2 PATE3 PATE4 PINLYP PLAUR PLGLB1 PLGLB2 PROK1 PROK2 PSCA RETN SLURP1 SLURP2 SPACA4 TEX101 TMEM213 WFDC12 WFDC13 WFDC3 WFDC5 WFDC8,
65,activin receptor activity,ACVR1 ACVR1B ACVR1C ACVR2A ACVR2B ACVRL1 BMPR1A ERN1 RYK STYK1 TGFBR1 TGFBR2,
288,acylglycerol O-acyltransferase activity,AADACL3 AADACL4 ABHD1 ABHD2 ACP6 AGPAT1 AGPAT2 APMAP COMT CYB5R1 DGAT2 DHCR24 EPHX3 MEST METTL7A METTL7B MINPP1 MOGAT1 MOGAT2 MOGAT3 NAT8 PAFAH2 PLA2G7 PNPLA2 PNPLA3 PNPLA5 PON2,
113,aldose reductase (NADPH) activity,AKR1A1 AKR1B1 AKR1B10 AKR1B15 AKR1C1 AKR1C2 AKR1C3 AKR1C4 AKR1D1 AKR1E2 GSTO2 GSTT2B,
355,alpha-amino acid catabolic process,ADA AGMAT AIFM3 AKR7A3 ALDH18A1 AMDHD1 AMT ARG2 ATIC BCAT1 BCAT2 BLVRB BPHL CLPP CRMP1 CRYM DHDH DPYS DPYSL2 DPYSL4 ECI1 FAH FAHD1 FDPS GAPDHS GART GATM GMPR GNPDA1 HACL1 HAO2 HMGCL HOGA1 LDHAL6A LDHAL6B LDHC LDHD MTHFD2 NPEPL1 NQO2 OXSM PGAM2 PHB2 PHGDH PKLR QPRT QTRT1 RBKS RTCB SDS SEPHS1 SEPHS2 SRR TTC38 VDAC2 VDAC3 XYLB,
214,alpha-glucosidase activity,ANPEP CA4 CLN5 HEPHL1 KIAA2013 MGAM MGAM2 NHLRC3 PEBP4 PRSS16 SI TFRC TRHDE TXNDC11,
293,alpha-ketoacid dehydrogenase complex,ACOT7 DBT DERA DLAT DLST DPYSL3 DPYSL5 ECHDC3 GMPR2 IMMT IMPDH1 LDHA LDHB MACROD1 NFS1 PDHX PGAM1 PMPCB STOML2 TKTL2 TPI1 TRAP1,
265,"alternative mRNA splicing, via spliceosome",CHTOP DDX17 DDX5 EIF4B EIF4H FAM98A FAM98B HNRNPL HNRNPM HNRNPU HNRNPUL1 HNRNPUL2 KHDRBS1 KHDRBS2 KHDRBS3 LSM14A MYEF2 NABP1 PABPN1 PSPC1 RBMXL1 RLF SERBP1 SFPQ TARDBP,
302,aminoacyl-tRNA ligase activity,ABHD12B ADCK5 AGK ALG1 ALG11 BCKDK CARS2 CERK CPOX DPP3 FBXO22 FECH GALT GLS GSS HDAC11 IARS2 JMJD8 LARS2 MACROD2 NADK2 NT5DC4 PFKFB3 PIGL PPAT PRMT7 PRODH SCRN3 UAP1L1,
423,aminoacyl-tRNA ligase activity,ABHD17B ABHD18 ACTR1A ACTR2 ACTR3B ACTR3C ALG2 ASPHD1 CDK5RAP1 CHKB CMPK1 DARS2 DCTN5 DHDDS DNTT EARS2 FBXO21 GUF1 GYG1 HARS2 ITFG2 IYD JMJD4 METTL9 NARS2 NT5C2 NT5DC2 NUS1 OGFOD2 OPA3 OSGIN2 PANK4 PGS1 PNKP PREB PRMT9 RABEPK RARS2 RIOX2 RNF215 RSAD1 RSAD2 SARS2 SCRN1 SERGEF SIRT7 SRPRB TARS2 TUBE1 TUBG1 TUBG2 USB1,
424,aminoacyl-tRNA ligase activity,ACTL6A ACTL6B ACTR10 ACTR1B ACTR3 ACTR6 ADPRH CCT8L2 CHKA CIAO3 CLPB CMPK2 DALRD3 DPH2 EEFSEC FARSB FLAD1 FPGS FPGT GFM1 GFM2 GFOD1 GTDC1 HSPA14 HSPA4 KLHDC8A KLHDC8B KLHDC9 KPTN MARS2 MTO1 NAPEPLD NARF NT5DC1 NT5DC3 NXN NXNL2 PAICS PARS2 PCMT1 PLCXD3 PNPT1 POLM RCC1 RCC1L RCCD1 SMOX SUOX TRMT2A TRMU TUBD1,
184,aminophospholipid transport,CD36 ERGIC1 GINM1 ITM2B LMLN2 RNF112 RNF13 RNF130 RNF149 SCARB1 SCARB2 SPCS3 TMEM30A TMEM30B TMEM9,
34,antigen processing and presentation of peptide antigen,AZGP1 CD1A CD1B CD1C CD1D CD1E FCGRT HFE HLA-A HLA-B HLA-C HLA-DMA HLA-DMB HLA-DOA HLA-DOB HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQA2 HLA-DQB1 HLA-DQB2 HLA-DRA HLA-DRB1 HLA-DRB5 HLA-E HLA-F HLA-G MICA MICB MR1 PROCR RAET1E RAET1G RAET1L ULBP1 ULBP2 ULBP3,
