hdbscan_filled_cluster,name
94,Viral Alarm Signals
28,Viral Restraints
428,Vital Mosaic
134,Voltage Anchors
50,Waterways
224,WW Bindings Guild
148,Zinc Shuttles
343,Accessory Subunits
75,Actin Alternatives
300,Actin Weavers
60,Adaptive Armament
358,Amino Acid Burners
226,Antibody Anchors
32,Antibody Arsenal
35,Antibody Backbone
61,Antibody Prototypes
33,Antigen Lexicon
196,Antioxidant Allies
338,Apoptosis Triggers
100,Aroma Seekers
62,Cell Cycle Speedsters
372,Cell Safeguards
14,Cellular Antennae
227,Cellular Handshakes
249,Cellular Scaffolds
116,Cellular Surveyors
27,Cellular Traffic Lights
173,Cellular Utilities
410,Centromere Cohort
401,Chromatin Sculptors
251,Cilia Builders
151,Ciliary Gatekeepers
413,Clockwork Regulators
345,Cryptic Controllers
58,Cullin2 Bounty Hunters
70,Cullin4 Executioners
301,Cytoskeletal Coordinators
234,Differentiation Directors
405,Division Directors
411,DNA Defenders
360,DNA Scribes
432,DNA Unzippers
24,Duplicated Passengers
114,Efflux Engines
357,Energy Converters
383,Epigenetic Enforcers
274,Extracellular Ensemble
241,Fate Deciders
333,Fertility Guardians
59,Fragrance Finders
336,Functional Mosaic
145,Gene Balancers
242,Gene Governors
359,Gene Silencers
396,Genome Surgeons
31,Genome Tetherers
57,Genome Wardens
412,Genomic Custodians
323,Genomic Dark Matter
54,Genomic Echoes
330,Genomic Nomads
324,Germline Enigmas
308,Grab Bag
420,Growth Moderators
378,Growth Restrainers
64,Growth Towers
17,Hair Coat
16,Hair Glue
364,Housekeeping Crew
0,Immune Alphabet
176,Immune Bouncers
350,Immune Integrators
40,Immune Toolkit
382,Integration Nodes
328,Iron-Sulfur Foundry
397,Jigsaw Pieces
285,Kill Switches
85,Leucine Rich Legion
299,Linchpins
297,Lipid Alchemists
455,Lysosome Engineers
140,Membrane Medley
153,Membrane Menagerie
171,Membrane Scissors
115,Membrane Sentinels
457,Methyl Masters
207,Microbe Slayers
258,Microtubule Organizers
435,Mitochondrial Shredders
289,Mixed Bag
344,Molecular Brakes
53,Molecular Hitmen
331,Molecular Mélange
303,Molecular Potpourri
29,Molecular Switches
278,Molecular Titans
437,Molecular Untanglers
421,Multitasking Mediators
80,Muscle Anchors
6,Mystery Messengers
2,Neural Barcode
238,Niche Factors
318,Nuclear Couriers
177,Nuclear Doormen
320,Nuclear Orchestrators
309,Nutrient Sensors
12,Odor Detectors
122,Pancreatic Pulverizers
393,Pathway Modulators
193,Pattern Makers
332,Polymer Weavers
9,Primate Amplifiers
363,Process Coordinators
334,Protein Crushers
78,Protein Lifeguards
208,Protein Ushers
7,Receptor Puzzle Pieces
329,Repeat Rebels
21,Retro Repressors
438,RNA Unwinders
125,Saliva Cocktail
3,Scent Sensors
185,Secretory Assembly Line
174,Signal Brakes
384,Signal Dampers
408,Signal Linkers
354,Signal Nexus
175,Signal Sidekicks
305,Signal Siphons
416,Signaling Web
101,Smell Scouts
392,Stress Adapters
335,Stress Responders
406,Structural Stabilizers
147,Sugar Shield
342,Suicide Squad
103,Surface Sentries
346,Synaptic Sculptors
340,Tissue Specialists
419,Translation Tuners
47,Transposon Tamers
26,Transposon Terminators
56,Transposon Wranglers
290,Tumor Ghosts
281,Uncharted Functions
304,Vesicle Architects
