cluster_id,GO_hit,gene_symbols,annotated_label
24,Golgi lumen,MUC7 CD34 PRG4 SLC24A1 FCAMR ABI3BP ACAN MS4A18 HEG1 IMPG1 SPN PMEL MUC13 FXYD5 CXCL16 MUC1 GYPE IL15RA MUC15 CD24 LYVE1 EVI2B SELPLG REELD1 TIMD4 MUC20 EMCN MUC3A CD44 HAVCR1 HHLA1 EQTN PODXL VIT C17orf78 SDC2 MUC6 MUCL3 MUC2 PLIN4 PDPN DYNAP SSC5D MANSC1 MANSC4 IMPG2 SUSD5 EVI2A PARM1 CD248 CABS1 PTPRZ1 CD164 LAMP3 SPESP1 NCAN CDHR5 TMEM123 MAVS ARMH4 SDC3 CSF1 DAG1 MEGF9 C11orf24 MUC21 CD68 TGOLN2 KLF18 GYPA PLXDC2 TMEM108 PI16 GYPB MUC22 SNORC SDC1 ECSCR CX3CL1,
355,Hsp90 protein binding,ANAPC10 SSB PITHD1 TXNL1 SCP2D1 ZPR1 NPM3 FKBP3 FKBP4 CYB5D1 CHORDC1 AHSA1 NUDCD2 PIH1D1 NUDC PTGES3L DNAAF2 CACYBP SBDS,
132,JUN kinase kinase kinase activity,KIF26A MAP3K11 MAST4 INPPL1 LMTK3 MAP3K10 CASKIN2 TNK2 MEN1 TNS2 CARMIL1 CASKIN1 RASAL2 CARMIL3 PPIP5K1 ABL1 MAP3K12 PER1 MAPKBP1 GAK MAP3K6 PLCH2 EDC4 MAP3K21 AATK SYNJ2 ARHGAP33 ABL2 SCRIB MAP3K9 VWA5B2 MICAL1 SYNGAP1 MAST3 PLCB3 DAB2IP MAP3K13 WNK4 SHANK1 MAP1S TTBK1 APC2 MAST2 CARMIL2 DENND4B MAST1 SHANK3 ANO8 PLCB2 ZSWIM8,
427,Lys48-specific deubiquitinase activity,MINDY1 CMPK1 TMEM43 ATL2 CMAS PI4K2B ATL1 ATXN3 MINDY2 TOR1AIP2 ATL3,
53,MAP kinase kinase activity,NRBP1 CDK8 PRKACB MAPK11 PAK2 STK35 MAP2K2 MAP2K7 SRPK2 CDK14 DYRK2 CSNK2A2 MAPK1 STK4 PDPK1 PRKACA STK25 MAPK9 MAPK8 NEK7 PINK1 CAMK4 MAPK10 RPS6KB1 MAP2K1 CSNK1A1L CAMKK1 GSK3A CSNK1G3 MAPKAPK3 STK24 CSNK1G2 MAPK3 IRAK4 CAMKK2 VRK1 STK39 CSNK1E STK3 CDK19 CSNK2A3 CAMK2A SRPK1 PRKAA2 STK38L CAMK2G NLK MAPK12 STK32C MAP2K4 STK38 GSK3B CAMK2B MAPKAPK5 OXSR1 PRKAA1 CAMK1D PAK1 CAMKV MAPK14 CSNK1G1 CAMK2D CSNK1A1 MAPK13 MAP2K3 MAPKAPK2 EIF2AK1 CSNK1D,
203,MHC protein complex,ULBP3 CD1A RAET1G FCGRT ULBP1 HLA-DQA1 HLA-DMA HLA-F HLA-DRB5 CD1D HFE CD1E HLA-G RAET1E B2M PROCR HLA-DQB1 HLA-DPA1 ULBP2 RAET1L TAPBP AZGP1 CD74 MR1 HLA-DPB1 MICA HLA-DRB1 HLA-DOB HLA-DQB2 HLA-DRA CD1C HLA-A HLA-E HLA-DQA2 HLA-DOA MICB HLA-B HLA-DMB HLA-C CD1B,
429,MKS complex,CATSPERD TCTN1 ITFG1 CATSPERB GPLD1 TMEM67 TCTN2 TCTN3 TMEM231 CATSPERE FBXO15,
262,N-acyltransferase activity,PARP11 HENMT1 SENP8 RWDD2A ARMT1 NAT1 SUOX NUDT12 NAT2 GLYATL1 GLYAT THTPA RWDD2B GLYATL1B DUS4L EXO5 C9orf64 BCDIN3D NIF3L1 FAM151B TRMT12 NUDT13 METTL18 ADPRM AMZ2 GLYATL2 BBOX1 ELAC1 PHOSPHO2 LIPT1,
265,NAD+ kinase activity,FBXO21 SPTLC2 GPD2 ELP3 GNPDA2 LANCL2 GNE GK5 PYROXD1 MTO1 UPP2 OSGIN2 AGK ARG2 PANK3 OSGEPL1 PANK2 PPAT XPNPEP3 NADK2 FBXO22 QRSL1 AGPS GALK2 PANK1 SEPHS1 CERKL SPTLC1 RTCA CERK,
252,NAD-dependent histone deacetylase activity (H3-K14 specific),EHBP1 HDAC5 PPP1R9A MICALL2 MAP7D1 PHACTR1 GIGYF2 HDAC9 MICALL1 HDAC4 MICAL3 TNIK CAMSAP2 STK10 CAMSAP1 PHLDB2 TAOK2 SLK PHACTR4 CUEDC1 HDAC7 FHOD3 PHACTR3 MAP7 MINK1 RUFY4 MAP4K4 SMTNL2 PHACTR2 LMO7 SMTN SCAPER,
271,NLS-bearing protein import into nucleus,XRN1 IBTK RGPD3 TSC2 TMEM131 GAPVD1 FNIP1 ANKHD1 MARF1 RGPD5 MAP3K1 CPLANE1 TOP2B RICTOR RANBP2 RGPD4 AHCTF1 TMEM131L UHRF1BP1L RGPD2 WDR87 RGPD6 KIDINS220 RGPD8 INTS6 RGPD1 DENND4A DENND4C TOGARAM1,
315,No significant GO enrichment,GTF3C4 CHML NCOA4 CCDC87 UHMK1 SOWAHB SMCR8 PDZD8 SNX33 USP35 HECA PIK3CG LONRF1 PDE12 SMG8 EXOC8 RMND5A VCPIP1 PPP1R15B FBXO30 SOCS5 USP38 JMY,
220,No significant GO enrichment,LARP7 KMT5B MLLT1 BRD7 COIL MPHOSPH8 AGGF1 BRD9 NOLC1 TGS1 PHF20L1 RALBP1 L1TD1 RNPC3 NOL8 RSBN1L PSIP1 HIRIP3 CFAP97 BBX RSBN1 LYAR XRCC1 KNOP1 HMGXB4 ZNHIT6 CWF19L2 RNMT PWWP2A GPATCH4 TCOF1 POLD3 ELOA RRP1B TTF1 CBX2 JMJD6 MTDH,
158,No significant GO enrichment,ANKRD33 NRIP2 LBHD1 C9orf50 DBF4B FAM90A26 RITA1 FAM90A1 C21orf58 CCDC24 INCA1 ACBD4 TCP10L PRR19 C1orf94 TMEM89 MCCD1 SPATA25 C22orf31 C6orf141 CCDC188 TINF2 C9orf152 C19orf84 C19orf67 C11orf86 C8orf58 ZGLP1 SPDYC C11orf16 C20orf141 ANXA2R TEDC2 CCDC159 SAP25 SAPCD1 C16orf90 MIIP ZAR1L FAM181A DEPP1 C11orf42 SYNE4 MRNIP FAM205C RNF224,
78,No significant GO enrichment,TECPR2 ANKS1A DCAF15 FAM120B BCAR3 ZC3H7B PLEKHH1 SGSM2 PIK3R5 HPS4 CTIF B4GALNT4 ALPK1 PTPDC1 MIGA2 KSR1 TBC1D4 DEPDC5 NCKIPSD PASK RPS6KL1 MTMR4 TBC1D16 HPS1 CAMTA2 TUBGCP6 B4GALNT3 RAPGEF1 SNX29 CPEB1 MADD RIN2 SGSM1 FAM135B RIPOR2 PLEKHM1 MINDY4 PITPNM1 ZFYVE28 FNIP2 EEF2K CDYL2 SH2D3C PLEKHM2 RIPOR1 CHFR RIPOR3 RUBCN PITPNM3 SMG5 ARHGAP22 KNDC1 VPS9D1 ARHGAP39 RPS6KC1 IQSEC3 RIN3 TRMT9B TBC1D1,
163,No significant GO enrichment,SPHKAP CRYBG1 PDZD2 NRIP1 CRYBG3 C4orf54 SYTL2 LUZP1 PRR14L COBL ZNF750 DACT1 KIAA1671 RAI1 NCKAP5 NHSL1 C19orf44 PRAG1 COBLL1 PEAK1 EXPH5 SH3D19 HIVEP1 MAP2 SYNPO2 MLIP FYB2 HIVEP2 STOX2 MTUS2 LIMA1 TACC2 TNS1 ALPK3 JCAD SVIL TP53BP1 TET2 RTN4 RAB11FIP1 SHROOM3 TCF20 TNS3 ALPK2 ZNF106,
189,No significant GO enrichment,ZNF382 ZNF544 ZNF181 ZNF655 ZNF175 ZNF10 ZNF613 ZNF596 ZNF300 ZNF585B ZNF432 ZNF287 ZNF782 ZNF717 ZNF248 ZNF658 ZNF606 ZNF510 ZNF12 ZNF585A ZNF334 ZFP90 ZNF180 ZNF614 ZNF624 ZNF33B ZNF567 ZNF37A ZNF322 ZNF25 ZNF484 ZNF605 ZNF615 ZFP37 RBAK ZNF84 ZNF354C ZFP28 ZNF527 ZNF33A ZNF197,
164,No significant GO enrichment,CTCF REST ZNF362 ZBTB17 VEZF1 ZNF384 PLAGL2 MTF1 ZNF131 ZNF236 PLAGL1 ZNF710 ZXDC ZNF281 ZNF335 ZNF366 ZFP64 PLAG1 PRDM5 ZNF821 PRDM10 ZNF142 ZNF410 ZEB1 ZNF652 HIF1A ZNF276 ZNF407 PRDM15 ZBTB11 CTCFL ZNF76 ZFP91 ZFAT ZNF143 ATMIN KLF12 ZBTB24 PRDM4 E4F1 ZBTB48 ZNF148 HINFP ZNF341 ZBTB40,
293,No significant GO enrichment,VMAC CCDC166 FAM167B NOL3 SNAPC2 TTC9B TTC36 RASSF7 PPP1R35 CCDC107 HSF4 NOXA1 RILPL2 RILP TMEM191C BIRC7 CAVIN3 CCDC85B TFPT REX1BD RELL2 NECAB3 UTF1 VPS37D CCDC194 TMEM191B,
